,LHS,RHS,support,confidence,coverage,lift,count
255,{LECITHIN},{IRON OXIDE},0.02,0.5,0.04,0.82,9
256,{IRON OXIDE},{LECITHIN},0.02,0.04,0.61,0.82,9
257,{LECITHIN},{POLYETHYLENE GLYCOL},0.02,0.5,0.04,0.76,9
258,{POLYETHYLENE GLYCOL},{LECITHIN},0.02,0.03,0.66,0.76,9
259,{LECITHIN},{MICROCRYSTALLINE CELLULOSE},0.04,0.89,0.04,1.14,16
260,{MICROCRYSTALLINE CELLULOSE},{LECITHIN},0.04,0.05,0.78,1.14,16
261,{LECITHIN},{MAGNESIUM STEARATE},0.04,0.94,0.04,1.09,17
262,{MAGNESIUM STEARATE},{LECITHIN},0.04,0.05,0.86,1.09,17
263,{LECITHIN},{TITANIUM DIOXIDE},0.04,0.94,0.04,1.12,17
264,{TITANIUM DIOXIDE},{LECITHIN},0.04,0.05,0.84,1.12,17
265,{POLOXAMER},{MAIZE STARCH},0.01,0.28,0.04,2.48,5
266,{MAIZE STARCH},{POLOXAMER},0.01,0.11,0.11,2.48,5
267,{POLOXAMER},{POVIDONE},0.03,0.72,0.04,2.41,13
268,{POVIDONE},{POLOXAMER},0.03,0.11,0.3,2.41,13
269,{POLOXAMER},{CROSCARMELLOSE SODIUM},0.02,0.56,0.04,1.25,10
270,{CROSCARMELLOSE SODIUM},{POLOXAMER},0.02,0.05,0.44,1.25,10
271,{POLOXAMER},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.44,0.04,1.01,8
272,"{SILICON DIOXIDE, ANHYDROUS}",{POLOXAMER},0.02,0.04,0.44,1.01,8
273,{POLOXAMER},{LACTOSE MONOHYDRATE},0.02,0.44,0.04,0.98,8
274,{LACTOSE MONOHYDRATE},{POLOXAMER},0.02,0.04,0.45,0.98,8
275,{POLOXAMER},{TALC},0.01,0.33,0.04,0.63,6
276,{TALC},{POLOXAMER},0.01,0.03,0.53,0.63,6
277,{POLOXAMER},{HYPROMELLOSE},0.02,0.44,0.04,0.8,8
278,{HYPROMELLOSE},{POLOXAMER},0.02,0.03,0.56,0.8,8
279,{POLOXAMER},{IRON OXIDE},0.03,0.61,0.04,1.0,11
280,{IRON OXIDE},{POLOXAMER},0.03,0.04,0.61,1.0,11
281,{POLOXAMER},{POLYETHYLENE GLYCOL},0.02,0.5,0.04,0.76,9
282,{POLYETHYLENE GLYCOL},{POLOXAMER},0.02,0.03,0.66,0.76,9
283,{POLOXAMER},{MICROCRYSTALLINE CELLULOSE},0.04,0.94,0.04,1.21,17
284,{MICROCRYSTALLINE CELLULOSE},{POLOXAMER},0.04,0.05,0.78,1.21,17
285,{POLOXAMER},{MAGNESIUM STEARATE},0.04,0.89,0.04,1.03,16
286,{MAGNESIUM STEARATE},{POLOXAMER},0.04,0.05,0.86,1.03,16
287,{POLOXAMER},{TITANIUM DIOXIDE},0.03,0.67,0.04,0.79,12
288,{TITANIUM DIOXIDE},{POLOXAMER},0.03,0.03,0.84,0.79,12
289,{SHELLAC},{PROPYLENE GLYCOL},0.02,0.56,0.04,13.6,9
290,{PROPYLENE GLYCOL},{SHELLAC},0.02,0.53,0.04,13.6,9
291,{SHELLAC},{PRINTING INK},0.03,0.88,0.04,21.15,14
292,{PRINTING INK},{SHELLAC},0.03,0.82,0.04,21.15,14
293,{SHELLAC},{INDIGO CARMINE},0.03,0.69,0.04,4.42,11
294,{INDIGO CARMINE},{SHELLAC},0.03,0.17,0.16,4.42,11
295,{SHELLAC},{POLYVINYL ALCOHOL},0.02,0.44,0.04,1.73,7
296,{POLYVINYL ALCOHOL},{SHELLAC},0.02,0.07,0.25,1.73,7
297,{SHELLAC},{POVIDONE},0.01,0.38,0.04,1.25,6
298,{POVIDONE},{SHELLAC},0.01,0.05,0.3,1.25,6
299,{SHELLAC},{CROSCARMELLOSE SODIUM},0.02,0.62,0.04,1.41,10
300,{CROSCARMELLOSE SODIUM},{SHELLAC},0.02,0.05,0.44,1.41,10
301,{SHELLAC},"{SILICON DIOXIDE, ANHYDROUS}",0.01,0.38,0.04,0.86,6
302,"{SILICON DIOXIDE, ANHYDROUS}",{SHELLAC},0.01,0.03,0.44,0.86,6
303,{SHELLAC},{LACTOSE MONOHYDRATE},0.02,0.5,0.04,1.1,8
304,{LACTOSE MONOHYDRATE},{SHELLAC},0.02,0.04,0.45,1.1,8
305,{SHELLAC},{TALC},0.02,0.62,0.04,1.17,10
306,{TALC},{SHELLAC},0.02,0.05,0.53,1.17,10
307,{SHELLAC},{HYPROMELLOSE},0.01,0.38,0.04,0.67,6
308,{HYPROMELLOSE},{SHELLAC},0.01,0.03,0.56,0.67,6
309,{SHELLAC},{IRON OXIDE},0.04,0.94,0.04,1.54,15
310,{IRON OXIDE},{SHELLAC},0.04,0.06,0.61,1.54,15
311,{SHELLAC},{POLYETHYLENE GLYCOL},0.03,0.81,0.04,1.24,13
312,{POLYETHYLENE GLYCOL},{SHELLAC},0.03,0.05,0.66,1.24,13
313,{SHELLAC},{MICROCRYSTALLINE CELLULOSE},0.03,0.75,0.04,0.96,12
314,{MICROCRYSTALLINE CELLULOSE},{SHELLAC},0.03,0.04,0.78,0.96,12
315,{SHELLAC},{MAGNESIUM STEARATE},0.03,0.88,0.04,1.01,14
316,{MAGNESIUM STEARATE},{SHELLAC},0.03,0.04,0.86,1.01,14
317,{SHELLAC},{TITANIUM DIOXIDE},0.04,0.94,0.04,1.11,15
318,{TITANIUM DIOXIDE},{SHELLAC},0.04,0.04,0.84,1.11,15
319,{COPOVIDONE},{SODIUM STEARYL FUMARATE},0.02,0.43,0.05,5.03,9
320,{SODIUM STEARYL FUMARATE},{COPOVIDONE},0.02,0.26,0.09,5.03,9
321,{COPOVIDONE},{POLYSORBATE},0.01,0.24,0.05,2.8,5
322,{POLYSORBATE},{COPOVIDONE},0.01,0.14,0.09,2.8,5
323,{COPOVIDONE},{MANNITOL},0.01,0.29,0.05,1.63,6
324,{MANNITOL},{COPOVIDONE},0.01,0.08,0.18,1.63,6
325,{COPOVIDONE},{POLYVINYL ALCOHOL},0.02,0.33,0.05,1.32,7
326,{POLYVINYL ALCOHOL},{COPOVIDONE},0.02,0.07,0.25,1.32,7
327,{COPOVIDONE},{CROSCARMELLOSE SODIUM},0.01,0.29,0.05,0.65,6
328,{CROSCARMELLOSE SODIUM},{COPOVIDONE},0.01,0.03,0.44,0.65,6
329,{COPOVIDONE},"{SILICON DIOXIDE, ANHYDROUS}",0.03,0.67,0.05,1.52,14
330,"{SILICON DIOXIDE, ANHYDROUS}",{COPOVIDONE},0.03,0.08,0.44,1.52,14
331,{COPOVIDONE},{TALC},0.04,0.81,0.05,1.52,17
332,{TALC},{COPOVIDONE},0.04,0.08,0.53,1.52,17
333,{COPOVIDONE},{HYPROMELLOSE},0.03,0.57,0.05,1.03,12
334,{HYPROMELLOSE},{COPOVIDONE},0.03,0.05,0.56,1.03,12
335,{COPOVIDONE},{IRON OXIDE},0.04,0.81,0.05,1.33,17
336,{IRON OXIDE},{COPOVIDONE},0.04,0.07,0.61,1.33,17
337,{COPOVIDONE},{POLYETHYLENE GLYCOL},0.04,0.81,0.05,1.23,17
338,{POLYETHYLENE GLYCOL},{COPOVIDONE},0.04,0.06,0.66,1.23,17
339,{COPOVIDONE},{MICROCRYSTALLINE CELLULOSE},0.02,0.48,0.05,0.61,10
340,{MICROCRYSTALLINE CELLULOSE},{COPOVIDONE},0.02,0.03,0.78,0.61,10
341,{COPOVIDONE},{MAGNESIUM STEARATE},0.03,0.57,0.05,0.66,12
342,{MAGNESIUM STEARATE},{COPOVIDONE},0.03,0.03,0.86,0.66,12
343,{COPOVIDONE},{TITANIUM DIOXIDE},0.05,1.0,0.05,1.19,21
344,{TITANIUM DIOXIDE},{COPOVIDONE},0.05,0.06,0.84,1.19,21
345,{PROPYLENE GLYCOL},{PRINTING INK},0.02,0.59,0.04,14.22,10
346,{PRINTING INK},{PROPYLENE GLYCOL},0.02,0.59,0.04,14.22,10
347,{PROPYLENE GLYCOL},{CARNAUBA WAX},0.01,0.29,0.04,4.32,5
348,{CARNAUBA WAX},{PROPYLENE GLYCOL},0.01,0.18,0.07,4.32,5
349,{PROPYLENE GLYCOL},{INDIGO CARMINE},0.02,0.47,0.04,3.02,8
350,{INDIGO CARMINE},{PROPYLENE GLYCOL},0.02,0.12,0.16,3.02,8
351,{PROPYLENE GLYCOL},{POVIDONE},0.02,0.41,0.04,1.38,7
352,{POVIDONE},{PROPYLENE GLYCOL},0.02,0.06,0.3,1.38,7
353,{PROPYLENE GLYCOL},{CROSCARMELLOSE SODIUM},0.02,0.41,0.04,0.93,7
354,{CROSCARMELLOSE SODIUM},{PROPYLENE GLYCOL},0.02,0.04,0.44,0.93,7
355,{PROPYLENE GLYCOL},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.53,0.04,1.21,9
356,"{SILICON DIOXIDE, ANHYDROUS}",{PROPYLENE GLYCOL},0.02,0.05,0.44,1.21,9
357,{PROPYLENE GLYCOL},{LACTOSE MONOHYDRATE},0.02,0.47,0.04,1.04,8
358,{LACTOSE MONOHYDRATE},{PROPYLENE GLYCOL},0.02,0.04,0.45,1.04,8
359,{PROPYLENE GLYCOL},{TALC},0.02,0.59,0.04,1.1,10
360,{TALC},{PROPYLENE GLYCOL},0.02,0.05,0.53,1.1,10
361,{PROPYLENE GLYCOL},{HYPROMELLOSE},0.02,0.59,0.04,1.06,10
362,{HYPROMELLOSE},{PROPYLENE GLYCOL},0.02,0.04,0.56,1.06,10
363,{PROPYLENE GLYCOL},{IRON OXIDE},0.04,0.94,0.04,1.55,16
364,{IRON OXIDE},{PROPYLENE GLYCOL},0.04,0.06,0.61,1.55,16
365,{PROPYLENE GLYCOL},{POLYETHYLENE GLYCOL},0.03,0.71,0.04,1.07,12
366,{POLYETHYLENE GLYCOL},{PROPYLENE GLYCOL},0.03,0.04,0.66,1.07,12
367,{PROPYLENE GLYCOL},{MICROCRYSTALLINE CELLULOSE},0.03,0.71,0.04,0.91,12
368,{MICROCRYSTALLINE CELLULOSE},{PROPYLENE GLYCOL},0.03,0.04,0.78,0.91,12
369,{PROPYLENE GLYCOL},{MAGNESIUM STEARATE},0.03,0.76,0.04,0.89,13
370,{MAGNESIUM STEARATE},{PROPYLENE GLYCOL},0.03,0.04,0.86,0.89,13
371,{PROPYLENE GLYCOL},{TITANIUM DIOXIDE},0.04,1.0,0.04,1.19,17
372,{TITANIUM DIOXIDE},{PROPYLENE GLYCOL},0.04,0.05,0.84,1.19,17
373,{PRINTING INK},{CARNAUBA WAX},0.01,0.35,0.04,5.18,6
374,{CARNAUBA WAX},{PRINTING INK},0.01,0.21,0.07,5.18,6
375,{PRINTING INK},{INDIGO CARMINE},0.03,0.71,0.04,4.53,12
376,{INDIGO CARMINE},{PRINTING INK},0.03,0.19,0.16,4.53,12
377,{PRINTING INK},{POLYVINYL ALCOHOL},0.02,0.41,0.04,1.63,7
378,{POLYVINYL ALCOHOL},{PRINTING INK},0.02,0.07,0.25,1.63,7
379,{PRINTING INK},{POVIDONE},0.02,0.41,0.04,1.38,7
380,{POVIDONE},{PRINTING INK},0.02,0.06,0.3,1.38,7
381,{PRINTING INK},{CROSCARMELLOSE SODIUM},0.02,0.53,0.04,1.2,9
382,{CROSCARMELLOSE SODIUM},{PRINTING INK},0.02,0.05,0.44,1.2,9
383,{PRINTING INK},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.41,0.04,0.94,7
384,"{SILICON DIOXIDE, ANHYDROUS}",{PRINTING INK},0.02,0.04,0.44,0.94,7
385,{PRINTING INK},{LACTOSE MONOHYDRATE},0.02,0.53,0.04,1.17,9
386,{LACTOSE MONOHYDRATE},{PRINTING INK},0.02,0.05,0.45,1.17,9
387,{PRINTING INK},{TALC},0.02,0.53,0.04,0.99,9
388,{TALC},{PRINTING INK},0.02,0.04,0.53,0.99,9
389,{PRINTING INK},{HYPROMELLOSE},0.02,0.47,0.04,0.84,8
390,{HYPROMELLOSE},{PRINTING INK},0.02,0.03,0.56,0.84,8
391,{PRINTING INK},{IRON OXIDE},0.04,0.88,0.04,1.45,15
392,{IRON OXIDE},{PRINTING INK},0.04,0.06,0.61,1.45,15
393,{PRINTING INK},{POLYETHYLENE GLYCOL},0.03,0.82,0.04,1.25,14
394,{POLYETHYLENE GLYCOL},{PRINTING INK},0.03,0.05,0.66,1.25,14
395,{PRINTING INK},{MICROCRYSTALLINE CELLULOSE},0.03,0.71,0.04,0.91,12
396,{MICROCRYSTALLINE CELLULOSE},{PRINTING INK},0.03,0.04,0.78,0.91,12
397,{PRINTING INK},{MAGNESIUM STEARATE},0.04,0.88,0.04,1.02,15
398,{MAGNESIUM STEARATE},{PRINTING INK},0.04,0.04,0.86,1.02,15
399,{PRINTING INK},{TITANIUM DIOXIDE},0.04,0.94,0.04,1.12,16
400,{TITANIUM DIOXIDE},{PRINTING INK},0.04,0.05,0.84,1.12,16
401,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{GLYCEROL TRIACETATE},0.01,0.21,0.06,1.36,5
402,{GLYCEROL TRIACETATE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.01,0.08,0.15,1.36,5
403,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{MANNITOL},0.02,0.42,0.06,2.38,10
404,{MANNITOL},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.02,0.14,0.18,2.38,10
405,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{HYDROXYPROPYLCELLULOSE},0.02,0.42,0.06,1.95,10
406,{HYDROXYPROPYLCELLULOSE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.02,0.11,0.21,1.95,10
407,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{CROSPOVIDONE},0.01,0.21,0.06,0.92,5
408,{CROSPOVIDONE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.01,0.05,0.23,0.92,5
409,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{POLYVINYL ALCOHOL},0.02,0.29,0.06,1.15,7
410,{POLYVINYL ALCOHOL},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.02,0.07,0.25,1.15,7
411,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.38,0.06,0.86,9
412,"{SILICON DIOXIDE, ANHYDROUS}",{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.02,0.05,0.44,0.86,9
413,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{LACTOSE MONOHYDRATE},0.03,0.46,0.06,1.01,11
414,{LACTOSE MONOHYDRATE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.03,0.06,0.45,1.01,11
415,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{TALC},0.04,0.62,0.06,1.17,15
416,{TALC},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.04,0.07,0.53,1.17,15
417,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{HYPROMELLOSE},0.03,0.58,0.06,1.05,14
418,{HYPROMELLOSE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.03,0.06,0.56,1.05,14
419,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{IRON OXIDE},0.04,0.71,0.06,1.16,17
420,{IRON OXIDE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.04,0.07,0.61,1.16,17
421,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{POLYETHYLENE GLYCOL},0.04,0.62,0.06,0.95,15
422,{POLYETHYLENE GLYCOL},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.04,0.06,0.66,0.95,15
423,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{MICROCRYSTALLINE CELLULOSE},0.04,0.75,0.06,0.96,18
424,{MICROCRYSTALLINE CELLULOSE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.04,0.06,0.78,0.96,18
425,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{MAGNESIUM STEARATE},0.04,0.62,0.06,0.72,15
426,{MAGNESIUM STEARATE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.04,0.04,0.86,0.72,15
427,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{TITANIUM DIOXIDE},0.06,0.96,0.06,1.14,23
428,{TITANIUM DIOXIDE},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.06,0.07,0.84,1.14,23
429,{CALCIUM HYDROGEN PHOSPHATE},{SODIUM STEARYL FUMARATE},0.01,0.21,0.07,2.52,6
430,{SODIUM STEARYL FUMARATE},{CALCIUM HYDROGEN PHOSPHATE},0.01,0.17,0.09,2.52,6
431,{CALCIUM HYDROGEN PHOSPHATE},{GLYCEROL TRIACETATE},0.01,0.21,0.07,1.4,6
432,{GLYCEROL TRIACETATE},{CALCIUM HYDROGEN PHOSPHATE},0.01,0.1,0.15,1.4,6
433,{CALCIUM HYDROGEN PHOSPHATE},{POLYVINYL ALCOHOL},0.02,0.29,0.07,1.13,8
434,{POLYVINYL ALCOHOL},{CALCIUM HYDROGEN PHOSPHATE},0.02,0.08,0.25,1.13,8
435,{CALCIUM HYDROGEN PHOSPHATE},{POVIDONE},0.02,0.29,0.07,0.95,8
436,{POVIDONE},{CALCIUM HYDROGEN PHOSPHATE},0.02,0.07,0.3,0.95,8
437,{CALCIUM HYDROGEN PHOSPHATE},{CROSCARMELLOSE SODIUM},0.04,0.57,0.07,1.29,16
438,{CROSCARMELLOSE SODIUM},{CALCIUM HYDROGEN PHOSPHATE},0.04,0.09,0.44,1.29,16
439,{CALCIUM HYDROGEN PHOSPHATE},"{SILICON DIOXIDE, ANHYDROUS}",0.01,0.21,0.07,0.49,6
440,"{SILICON DIOXIDE, ANHYDROUS}",{CALCIUM HYDROGEN PHOSPHATE},0.01,0.03,0.44,0.49,6
441,{CALCIUM HYDROGEN PHOSPHATE},{LACTOSE MONOHYDRATE},0.01,0.18,0.07,0.39,5
442,{LACTOSE MONOHYDRATE},{CALCIUM HYDROGEN PHOSPHATE},0.01,0.03,0.45,0.39,5
443,{CALCIUM HYDROGEN PHOSPHATE},{TALC},0.04,0.57,0.07,1.07,16
444,{TALC},{CALCIUM HYDROGEN PHOSPHATE},0.04,0.07,0.53,1.07,16
445,{CALCIUM HYDROGEN PHOSPHATE},{HYPROMELLOSE},0.03,0.5,0.07,0.9,14
446,{HYPROMELLOSE},{CALCIUM HYDROGEN PHOSPHATE},0.03,0.06,0.56,0.9,14
447,{CALCIUM HYDROGEN PHOSPHATE},{IRON OXIDE},0.05,0.68,0.07,1.12,19
448,{IRON OXIDE},{CALCIUM HYDROGEN PHOSPHATE},0.05,0.08,0.61,1.12,19
449,{CALCIUM HYDROGEN PHOSPHATE},{POLYETHYLENE GLYCOL},0.04,0.64,0.07,0.98,18
450,{POLYETHYLENE GLYCOL},{CALCIUM HYDROGEN PHOSPHATE},0.04,0.07,0.66,0.98,18
451,{CALCIUM HYDROGEN PHOSPHATE},{MICROCRYSTALLINE CELLULOSE},0.05,0.71,0.07,0.92,20
452,{MICROCRYSTALLINE CELLULOSE},{CALCIUM HYDROGEN PHOSPHATE},0.05,0.06,0.78,0.92,20
453,{CALCIUM HYDROGEN PHOSPHATE},{MAGNESIUM STEARATE},0.06,0.89,0.07,1.03,25
454,{MAGNESIUM STEARATE},{CALCIUM HYDROGEN PHOSPHATE},0.06,0.07,0.86,1.03,25
455,{CALCIUM HYDROGEN PHOSPHATE},{TITANIUM DIOXIDE},0.06,0.86,0.07,1.02,24
456,{TITANIUM DIOXIDE},{CALCIUM HYDROGEN PHOSPHATE},0.06,0.07,0.84,1.02,24
457,{LACTOSE},{POLYSORBATE},0.01,0.17,0.07,1.96,5
458,{POLYSORBATE},{LACTOSE},0.01,0.14,0.09,1.96,5
459,{LACTOSE},{PREGELATINISED STARCH},0.01,0.17,0.07,1.59,5
460,{PREGELATINISED STARCH},{LACTOSE},0.01,0.12,0.1,1.59,5
461,{LACTOSE},{GLYCEROL TRIACETATE},0.02,0.27,0.07,1.74,8
462,{GLYCEROL TRIACETATE},{LACTOSE},0.02,0.13,0.15,1.74,8
463,{LACTOSE},{INDIGO CARMINE},0.01,0.17,0.07,1.07,5
464,{INDIGO CARMINE},{LACTOSE},0.01,0.08,0.16,1.07,5
465,{LACTOSE},{HYDROXYPROPYLCELLULOSE},0.01,0.2,0.07,0.93,6
466,{HYDROXYPROPYLCELLULOSE},{LACTOSE},0.01,0.07,0.21,0.93,6
467,{LACTOSE},{CROSPOVIDONE},0.02,0.23,0.07,1.03,7
468,{CROSPOVIDONE},{LACTOSE},0.02,0.08,0.23,1.03,7
469,{LACTOSE},{POLYVINYL ALCOHOL},0.02,0.27,0.07,1.05,8
470,{POLYVINYL ALCOHOL},{LACTOSE},0.02,0.08,0.25,1.05,8
471,{LACTOSE},{POVIDONE},0.01,0.17,0.07,0.56,5
472,{POVIDONE},{LACTOSE},0.01,0.04,0.3,0.56,5
473,{LACTOSE},{CROSCARMELLOSE SODIUM},0.04,0.6,0.07,1.35,18
474,{CROSCARMELLOSE SODIUM},{LACTOSE},0.04,0.1,0.44,1.35,18
475,{LACTOSE},"{SILICON DIOXIDE, ANHYDROUS}",0.03,0.47,0.07,1.07,14
476,"{SILICON DIOXIDE, ANHYDROUS}",{LACTOSE},0.03,0.08,0.44,1.07,14
477,{LACTOSE},{LACTOSE MONOHYDRATE},0.02,0.33,0.07,0.74,10
478,{LACTOSE MONOHYDRATE},{LACTOSE},0.02,0.05,0.45,0.74,10
479,{LACTOSE},{TALC},0.04,0.5,0.07,0.94,15
480,{TALC},{LACTOSE},0.04,0.07,0.53,0.94,15
481,{LACTOSE},{HYPROMELLOSE},0.04,0.6,0.07,1.08,18
482,{HYPROMELLOSE},{LACTOSE},0.04,0.08,0.56,1.08,18
483,{LACTOSE},{IRON OXIDE},0.04,0.6,0.07,0.99,18
484,{IRON OXIDE},{LACTOSE},0.04,0.07,0.61,0.99,18
485,{LACTOSE},{POLYETHYLENE GLYCOL},0.04,0.6,0.07,0.91,18
486,{POLYETHYLENE GLYCOL},{LACTOSE},0.04,0.07,0.66,0.91,18
487,{LACTOSE},{MICROCRYSTALLINE CELLULOSE},0.06,0.77,0.07,0.98,23
488,{MICROCRYSTALLINE CELLULOSE},{LACTOSE},0.06,0.07,0.78,0.98,23
489,{LACTOSE},{MAGNESIUM STEARATE},0.07,0.9,0.07,1.04,27
490,{MAGNESIUM STEARATE},{LACTOSE},0.07,0.08,0.86,1.04,27
491,{LACTOSE},{TITANIUM DIOXIDE},0.07,0.9,0.07,1.07,27
492,{TITANIUM DIOXIDE},{LACTOSE},0.07,0.08,0.84,1.07,27
493,{POLYVINYL ALCOHOL PART. HYDROLISED},{SODIUM STARCH GLYCOLATE},0.02,0.27,0.07,1.66,8
494,{SODIUM STARCH GLYCOLATE},{POLYVINYL ALCOHOL PART. HYDROLISED},0.02,0.12,0.16,1.66,8
495,{POLYVINYL ALCOHOL PART. HYDROLISED},{SODIUM LAURIL SULFATE},0.01,0.17,0.07,1.18,5
496,{SODIUM LAURIL SULFATE},{POLYVINYL ALCOHOL PART. HYDROLISED},0.01,0.09,0.14,1.18,5
497,{POLYVINYL ALCOHOL PART. HYDROLISED},{MANNITOL},0.01,0.17,0.07,0.95,5
498,{MANNITOL},{POLYVINYL ALCOHOL PART. HYDROLISED},0.01,0.07,0.18,0.95,5
499,{POLYVINYL ALCOHOL PART. HYDROLISED},{INDIGO CARMINE},0.02,0.23,0.07,1.5,7
500,{INDIGO CARMINE},{POLYVINYL ALCOHOL PART. HYDROLISED},0.02,0.11,0.16,1.5,7
501,{POLYVINYL ALCOHOL PART. HYDROLISED},{CROSPOVIDONE},0.02,0.23,0.07,1.03,7
502,{CROSPOVIDONE},{POLYVINYL ALCOHOL PART. HYDROLISED},0.02,0.08,0.23,1.03,7
503,{POLYVINYL ALCOHOL PART. HYDROLISED},{POVIDONE},0.03,0.37,0.07,1.23,11
504,{POVIDONE},{POLYVINYL ALCOHOL PART. HYDROLISED},0.03,0.09,0.3,1.23,11
505,{POLYVINYL ALCOHOL PART. HYDROLISED},{CROSCARMELLOSE SODIUM},0.04,0.57,0.07,1.28,17
506,{CROSCARMELLOSE SODIUM},{POLYVINYL ALCOHOL PART. HYDROLISED},0.04,0.09,0.44,1.28,17
507,{POLYVINYL ALCOHOL PART. HYDROLISED},"{SILICON DIOXIDE, ANHYDROUS}",0.04,0.6,0.07,1.37,18
508,"{SILICON DIOXIDE, ANHYDROUS}",{POLYVINYL ALCOHOL PART. HYDROLISED},0.04,0.1,0.44,1.37,18
509,{POLYVINYL ALCOHOL PART. HYDROLISED},{LACTOSE MONOHYDRATE},0.02,0.3,0.07,0.66,9
510,{LACTOSE MONOHYDRATE},{POLYVINYL ALCOHOL PART. HYDROLISED},0.02,0.05,0.45,0.66,9
511,{POLYVINYL ALCOHOL PART. HYDROLISED},{TALC},0.07,1.0,0.07,1.88,30
